ObjectId,Country,ISO2,ISO3,Indicator,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Bond_Type,Type_of_Issuer,Use_of_Proceed,Principal_Currency,Unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
11,Australia,AU,AUS,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.127100333,1.024859401,2.639674764,0.794377081,8.846003388,2.964249217,1.624696645,8.641248385
12,Australia,AU,AUS,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,2.632543428,0.095325249,0.228823575,
13,Austria,AT,AUT,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,0.529190126,0.015957791,1.413826459,1.521003167,0.541771003,2.223137881,1.641511203,2.670297089,11.8784339,17.00470106,13.38602363
14,Austria,AT,AUT,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.31971329,,,0.000136315,0.522897689,,,
15,Austria,AT,AUT,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,9.573233394,12.33695236,9.386501805
16,Austria,AT,AUT,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.522897689,,1.146110362,0.609015318,2.621592431,0.778817432
17,Austria,AT,AUT,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,1.25,3.608509635,,0.366028382,
18,Bangladesh,BD,BGD,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.246103363,,,
19,"Belarus, Rep. of",BY,BLR,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.056388539,,
20,"Belarus, Rep. of",BY,BLR,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.056388539,,
21,Belgium,BE,BEL,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,12.91767577,,1.37694713,22.40627058,50.10719402,4.251240772,22.56303531
22,Belgium,BE,BEL,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,47.58368977,48.90831951,10.76442557,4.166982765,2.363497556
23,Belgium,BE,BEL,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,12.39267525,,,,8.162432938,,
24,Belgium,BE,BEL,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.057750057,,0.522897689,2.300749833,2.426245279,1.969155252,1.830141913,1.568693069,1.699417491
25,Benin,BJ,BEN,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.638880438,,0.375239168,,
26,Benin,BJ,BEN,Sovereign Social Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.638880438,,0.375239168,,
27,Benin,BJ,BEN,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,1.045795378,,,
28,Benin,BJ,BEN,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,1.045795378,,,
29,Bermuda,BM,BMU,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.096211996,0.128984409,0.954797523,0.45,2.96,1.95,,1.00678292,0.333398004
30,Bermuda,BM,BMU,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.194929132
31,Bermuda,BM,BMU,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.15,,0.15,0.246550392
32,Bolivia,BO,BOL,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,0.05653861,0.353780398
33,Brazil,BR,BRA,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,1.051005286,0.034240712,2.077512777,0.139662409,1.080341467,0.640879911,2.524399566,2.575400339,2.511327167,1.631906656
34,Brazil,BR,BRA,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.008647156,0.339274212,,0.017445917,
35,Brazil,BR,BRA,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,2,2
36,Brazil,BR,BRA,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.411463393,,1.033835062,4.597096851,4.698497564
37,Brazil,BR,BRA,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,2.319555912,1.923013339,0.302928297,
38,British Virgin Islands,VG,VGB,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,0.276590742,,,,0.4,0.5,2.605933627,1.463517927,1.423659618,5.580390519,3.271669278,1.32793829,2.641617528
39,British Virgin Islands,VG,VGB,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.2,,0.110343305
40,British Virgin Islands,VG,VGB,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.3,,1.191438344,1.734939317
41,British Virgin Islands,VG,VGB,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.2,2.2,,
42,Burkina Faso,BF,BFA,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.209339773,1.168444847,0.425457489,,
43,Burkina Faso,BF,BFA,Sovereign Social Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.209339773,1.168444847,0.425457489,,
44,Canada,CA,CAN,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,1.159388572,0.458227848,1.08315863,2.772192708,5.936608123,6.451086879,9.499570207,15.79213115,14.23434461,7.178352331,19.29961155
45,Canada,CA,CAN,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.68851556,,0.140646976,0.55537864,0.668073136,,0.522897689
46,Canada,CA,CAN,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,3.516174402,,4.219409282
47,Canada,CA,CAN,Sovereign Social Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.35161744,,
48,Canada,CA,CAN,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,2.113143516,0.77088991,2.466224558,4.257328498,3.342213193,2.618196514
49,Canada,CA,CAN,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,2.300984528,2.6580872,3.53066104,
50,Cayman Islands,KY,CYM,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,0.3,,1.6,1.956723814,1.274562038,3.300615255,6.28210746,10.23511343,6.991029916,10.98221067,4.637929132
51,Cayman Islands,KY,CYM,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,0.5,0.2,,,,,,,1.016123051,0.04777205,
52,Cayman Islands,KY,CYM,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.9208,6.831757479,3.277364273,3.63,8.73
53,Cayman Islands,KY,CYM,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.6,0.4,,1.2,0.137826476
54,Chile,CL,CHL,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,1,,5.573299069,2.827132115,5.8718,1.439357248,2.610970478,4.291651999
55,Chile,CL,CHL,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.264767124,0.090512481,0.039308,0.04159604,1.764974785,14.42230584,0.1127432,5.496676013,8.010371713
56,Chile,CL,CHL,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,4.362557541,2.827132115,,,,
57,Chile,CL,CHL,Sovereign Social Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,1.697991063,14.35800543,,5.462416029,7.327241129
58,Chile,CL,CHL,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,5.092373592,5.061244415,,
59,Chile,CL,CHL,Sovereign Sustainability Linked Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,2,8.84273558,
60,Chile,CL,CHL,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.061296,2.04105224,,6.942373592,5.061244415,0.531372946,
61,Chile,CL,CHL,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,1,2,8.921128524,
62,"China, P.R.: Hong Kong",HK,HKG,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,0.3,,0.3,,0.953222832,3.11220213,7.765886715,4.540633058,17.1261085,11.43695151,25.70265022,11.76722196
63,"China, P.R.: Hong Kong",HK,HKG,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.385847127,,0.385514919,,1.440929629,2.562375565,3.556484429
64,"China, P.R.: Hong Kong",HK,HKG,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,2,,8.519530934,2.574168221,19.50385148,4.911612004
65,"China, P.R.: Hong Kong",HK,HKG,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,1.1,,,0.74,0.451029916,0.257929132,0.988751962
66,"China, P.R.: Hong Kong",HK,HKG,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,1.15,0.2,0.206739714,0.275858264
67,"China, P.R.: Macao",MO,MAC,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,1.080729826,0.483691533,1.03597691,1,,
68,"China, P.R.: Macao",MO,MAC,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,0.641512193,,,,
69,"China, P.R.: Macao",MO,MAC,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,0.137929132
70,"China, P.R.: Mainland",CN,CHN,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,0.138077682,0.982380239,28.21484995,28.83239965,28.64422309,39.95564925,27.03166019,70.69810323,95.97929533,85.89542669,64.71953397
71,"China, P.R.: Mainland",CN,CHN,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,0.413964967,0.412671161,2.72984708,1.554609498,0.179277073,0.550881726,1.05516372
72,"China, P.R.: Mainland",CN,CHN,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,2.788229618,,,,,
73,"China, P.R.: Mainland",CN,CHN,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,9.5498444,11.4603889,10.42385965,9.409687548,16.46598157
74,"China, P.R.: Mainland",CN,CHN,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,4.667167851,7.254569381,3.696892832,4.633383193
75,Colombia,CO,COL,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,0.046053767,0.11396548,,0.15672068,3.638470491,0.049004492,,
76,Colombia,CO,COL,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.707830111,0.145458351,3.945776843,0.008437563
77,Colombia,CO,COL,Sovereign Green Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Climate Finance, Green Bonds",Green Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,3.496615484,,,
78,Colombia,CO,COL,Sovereign Social Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,3.8,
79,Colombia,CO,COL,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,0.095468286,,,,0.8,0.069204169
80,Colombia,CO,COL,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.012096286,,,
81,Costa Rica,CR,CRI,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,1,,,,,,0.0080522,,
82,Costa Rica,CR,CRI,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.01,,,
83,Costa Rica,CR,CRI,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.61,,,
84,Côte d'Ivoire,CI,CIV,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,0.252174787,,,0.5,0.18706274,0.5,0.205884446,,0.6,0.18706274,,0.094089309,0.141133964,0.542341606,0.904198688
85,Côte d'Ivoire,CI,CIV,Social Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,0.05,0.6560563,1.325437474,0.134492326,3.354561674,0.862093937,1.613206818,0.378897912,4.163693805
86,Côte d'Ivoire,CI,CIV,Sovereign Social Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Social Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.043729903,,,
87,Côte d'Ivoire,CI,CIV,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,2.2
88,Côte d'Ivoire,CI,CIV,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,,2.95
89,"Croatia, Rep. of",HR,HRV,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,0.31896759,0.418318151
90,"Croatia, Rep. of",HR,HRV,Sustainability Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.209159075,,
91,"Croatia, Rep. of",HR,HRV,Sustainability Linked Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,,,,Linked Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,0.313738613,,
92,Cyprus,CY,CYP,Green Bond Issuances by Country,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Climate Finance, Green Bonds, Green Bonds Issuances ",Green Bonds,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,0.313738613,,,0.313738613
93,Cyprus,CY,CYP,Sovereign Sustainability Bond Issuances,Refinitiv; Country authorities; IMF staff calculations.,,,,Sustainability Bond,Not Applicable,Not Applicable,Not Applicable,Billion US Dollars,,,,,,,,,,,,,,,,,,1.045795379,
